Países,Deuda total (M.€),Deuda total (M.€).1,Deuda total (M.$),Deuda total (M.$).1,Deuda (%PIB),Deuda Per Cápita,Deuda Per Cápita.1
Kiribati [+],10,,14,,"10,28%",101 €,141 $
Comoras [+],206,,287,,"31,77%",321 €,447 $
San Cristóbal y Nieves [+],717,,999,,"129,07%",15.251 €,21.249 $
Corea del Sur [+],203.097,,282.969,,"28,79%",4.119 €,5.739 $
Kuwait [+],5.061,,7.052,,"6,65%",1.822 €,2.539 $
Kazajistán [+],8.464,,11.793,,"10,23%",526 €,733 $
Laos [+],2.392,,3.333,,"51,82%",384 €,535 $
Líbano [+],36.714,,51.153,,"144,50%",7.416 €,10.332 $
Santa Lucía [+],512,,714,,"50,24%",3.014 €,4.199 $
Sri Lanka [+],25.977,,36.193,,"72,75%",1.291 €,1.799 $
Liberia [+],1.659,,2.311,,"132,16%",442 €,616 $
Lesoto [+],499,,695,,"35,87%",252 €,351 $
Lituania [+],7.529,,10.490,,"27,90%",2.396 €,3.339 $
Luxemburgo [+],5.969,,8.316,,"15,30%",11.889 €,16.564 $
Letonia [+],6.957,,9.696,,"38,00%",3.281 €,4.572 $
Libia [+],1.248,,1.739,,"2,76%",196 €,273 $
Marruecos [+],30.755,,42.850,,"42,62%",968 €,1.348 $
Moldavia [+],1.273,,1.773,,"32,61%",357 €,498 $
Montenegro [+],1.308,,1.823,,"43,87%",2.113 €,2.944 $
Madagascar [+],2.406,,3.352,,"34,86%",122 €,170 $
Islas Marshall [+],45,,62,,"41,20%",856 €,1.192 $
Macedonia del Norte [+],1.601,,2.231,,"23,73%",780 €,1.087 $
Malí [+],1.608,,2.240,,"18,81%",104 €,145 $
Myanmar [+],12.422,,17.307,,"56,42%",255 €,355 $
Mongolia [+],1.597,,2.225,,"48,54%",588 €,819 $
Mauritania [+],1.843,,2.568,,"54,34%",576 €,802 $
Malta [+],4.153,,5.786,,"66,00%",10.030 €,13.974 $
Mauricio [+],3.879,,5.405,,"56,84%",3.111 €,4.334 $
Maldivas [+],814,,1.135,,"48,39%",2.585 €,3.602 $
Malaui [+],1.470,,2.049,,"23,49%",96 €,134 $
México [+],282.142,,393.100,,"41,67%",2.496 €,3.478 $
Malasia [+],76.646,,106.788,,"50,41%",2.729 €,3.803 $
Mozambique [+],3.462,,4.823,,"39,33%",151 €,211 $
Namibia [+],1.014,,1.413,,"15,85%",492 €,685 $
Níger [+],838,,1.167,,"15,94%",53 €,74 $
Nigeria [+],18.707,,26.063,,"6,12%",116 €,161 $
Nicaragua [+],1.742,,2.428,,"29,26%",303 €,423 $
Países Bajos [+],355.057,,494.224,,"56,30%",21.421 €,29.817 $
Noruega [+],123.464,,165.060,,"42,80%",25.414 €,33.976 $
Nepal [+],4.153,,5.786,,"39,46%",153 €,213 $
Nauru [+],100,,139,,"295,58%",9.951 €,13.865 $
Nueva Zelanda [+],21.257,,29.617,,"24,28%",4.938 €,6.880 $
Omán [+],2.311,,3.220,,"5,81%",802 €,1.117 $
Panamá [+],7.881,,10.980,,"39,51%",2.189 €,3.050 $
Perú [+],24.763,,34.501,,"28,18%",869 €,1.211 $
Papúa Nueva Guinea [+],1.811,,2.523,,"21,72%",286 €,398 $
