Países,Densidad,Población,Población.1,Var.,Año
Islas Marshall [+],294.0,53.000,,"1,92%",2010
Macedonia del Norte [+],80.0,2.057.284,,"0,22%",2010
Malí [+],13.0,15.945.000,,"3,30%",2010
Myanmar [+],73.0,49.085.000,,"0,70%",2010
Mongolia [+],2.0,2.761.000,,"1,66%",2010
Mauritania [+],3.0,3.285.000,,"2,59%",2010
Malta [+],1.297,414.989,,"0,23%",2010
Mauricio [+],613.0,1.250.000,,"0,24%",2010
Maldivas [+],1.067,320.000,,"1,59%",2010
Malaui [+],133.0,15.714.000,,"2,88%",2010
México [+],58.0,114.756.000,,"1,53%",2010
Malasia [+],86.0,28.589.000,,"1,81%",2010
Mozambique [+],29.0,23.532.000,,"2,78%",2010
Namibia [+],3.0,2.093.000,,"1,50%",2010
Níger [+],13.0,16.464.000,,"3,92%",2010
Nigeria [+],180.0,166.643.000,,"2,93%",2010
Nicaragua [+],45.0,5.816.000,,"1,29%",2010
Países Bajos [+],401.0,16.655.799,,"0,49%",2010
Noruega [+],13.0,4.920.305,,"1,28%",2010
Nepal [+],186.0,27.342.000,,"0,62%",2010
Nauru [+],500.0,10.000,,0,2010
Nueva Zelanda [+],16.0,4.353.000,,"1,11%",2010
Omán [+],10.0,2.998.000,,"3,99%",2010
Panamá [+],49.0,3.662.000,,"1,72%",2010
Perú [+],22.0,28.692.915,,"0,73%",2010
Papúa Nueva Guinea [+],15.0,6.738.000,,"6,29%",2010
Filipinas [+],310.0,93.140.000,,"1,73%",2010
Pakistán [+],217.0,172.860.000,,"2,47%",2010
Polonia [+],122.0,38.062.718,,"0,10%",2010
Estado de Palestina [+],668.0,4.023.000,,"2,58%",2010
Palaos [+],39.0,18.000,,0,2010
Paraguay [+],14.0,5.668.000,,"0,73%",2010
Catar [+],148.0,1.715.000,,"4,64%",2010
Rumanía [+],85.0,20.199.059,,"-0,47%",2010
Serbia [+],82.0,7.251.549,,"-0,75%",2010
Rusia [+],8.0,142.856.536,,"0,66%",2010
Ruanda [+],380.0,10.000.000,,"3,09%",2010
Arabia Saudita [+],11.0,23.978.000,,"5,26%",2010
Islas Salomón [+],20.0,567.000,,"2,72%",2010
Seychelles [+],196.0,90.000,,"1,12%",2010
Sudán [+],16.0,40.134.000,,"2,60%",2010
Suecia [+],21.0,9.415.570,,"0,80%",2010
Singapur [+],7.131,5.077.000,,"1,78%",2010
