Países,Densidad,Población,Población.1,Var.,Año
Irak [+],73.0,31.760.000,,"2,58%",2011
Irán [+],43.0,75.150.000,,"1,34%",2011
Islandia [+],3.0,319.575,,"0,35%",2011
Jamaica [+],246.0,2.703.000,,"0,26%",2011
Jordania [+],80.0,7.110.000,,"2,58%",2011
Kenia [+],68.0,39.500.000,,"2,33%",2011
Kirguistán [+],27.0,5.478.000,,"1,11%",2011
Camboya [+],81.0,14.723.000,,"1,53%",2011
Kiribati [+],128.0,104.000,,"0,97%",2011
Comoras [+],360.0,670.000,,"2,13%",2011
San Cristóbal y Nieves [+],181.0,47.000,,0,2011
Corea del Norte [+],208.0,25.097.874,,"0,44%",2011
Corea del Sur [+],499.0,49.937.000,,"0,77%",2011
Kuwait [+],182.0,3.247.000,,"10,71%",2011
Kazajistán [+],6.0,16.557.000,,"1,44%",2011
Laos [+],27.0,6.416.000,,"1,47%",2011
Líbano [+],483.0,5.045.000,,"0,98%",2011
Santa Lucía [+],277.0,172.000,,"0,58%",2011
Liechtenstein [+],228.0,36.475,,"0,90%",2011
Sri Lanka [+],311.0,20.398.000,,"0,67%",2011
Liberia [+],36.0,4.017.000,,"3,24%",2011
Lesoto [+],66.0,2.014.000,,"0,90%",2011
Lituania [+],46.0,3.003.641,,"-1,60%",2011
Luxemburgo [+],203.0,524.853,,"2,54%",2011
Letonia [+],32.0,2.044.813,,"-1,44%",2011
Libia [+],4.0,6.343.000,,"-2,39%",2011
Marruecos [+],73.0,32.579.000,,"1,23%",2011
Mónaco [+],453.0,33.946,,"2,36%",2011
Moldavia [+],105.0,3.559.541,,"-0,02%",2011
Montenegro [+],45.0,620.308,,"0,07%",2011
Madagascar [+],36.0,20.872.000,,"3,01%",2011
Islas Marshall [+],294.0,53.000,,0,2011
Macedonia del Norte [+],80.0,2.059.794,,"0,12%",2011
Malí [+],13.0,16.469.000,,"3,29%",2011
Myanmar [+],73.0,49.447.000,,"0,74%",2011
Mongolia [+],2.0,2.812.000,,"1,85%",2011
Mauritania [+],3.0,3.369.000,,"2,56%",2011
Malta [+],1.305,417.546,,"0,62%",2011
Mauricio [+],624.0,1.252.000,,"0,16%",2011
Maldivas [+],1.083,325.000,,"1,56%",2011
Malaui [+],136.0,16.166.000,,"2,88%",2011
México [+],59.0,116.446.000,,"1,47%",2011
Malasia [+],88.0,29.062.000,,"1,65%",2011
Mozambique [+],30.0,24.188.000,,"2,79%",2011
Namibia [+],3.0,2.127.000,,"1,62%",2011
Níger [+],14.0,17.115.000,,"3,95%",2011
Nigeria [+],186.0,171.380.000,,"2,84%",2011
Nicaragua [+],46.0,5.997.000,,"3,11%",2011
Países Bajos [+],403.0,16.730.348,,"0,45%",2011
Noruega [+],13.0,4.985.870,,"1,33%",2011
Nepal [+],187.0,27.464.000,,"0,45%",2011
Nauru [+],500.0,10.000,,0,2011
Nueva Zelanda [+],16.0,4.386.000,,"0,76%",2011
Omán [+],11.0,3.295.000,,"9,91%",2011
Panamá [+],49.0,3.724.000,,"1,69%",2011
Perú [+],22.0,28.905.725,,"0,74%",2011
Papúa Nueva Guinea [+],16.0,7.254.000,,"7,66%",2011
Filipinas [+],316.0,94.700.000,,"1,67%",2011
Pakistán [+],222.0,177.130.000,,"2,47%",2011
Polonia [+],122.0,38.063.792,,"0,00%",2011
Estado de Palestina [+],685.0,4.125.000,,"2,54%",2011
Palaos [+],39.0,18.000,,0,2011
Paraguay [+],14.0,5.711.000,,"0,76%",2011
Catar [+],149.0,1.733.000,,"1,05%",2011
Rumanía [+],84.0,20.095.996,,"-0,51%",2011
Serbia [+],82.0,7.216.649,,"-0,48%",2011
Rusia [+],8.0,143.056.383,,"0,14%",2011
Ruanda [+],387.0,10.200.000,,"2,00%",2011
Arabia Saudita [+],12.0,25.092.000,,"4,65%",2011
Islas Salomón [+],20.0,583.000,,"2,82%",2011
Seychelles [+],200.0,92.000,,"2,22%",2011
Sudán [+],13.0,32.661.000,,"-18,62%",2011
Suecia [+],21.0,9.482.855,,"0,71%",2011
Singapur [+],7.261,5.184.000,,"2,11%",2011
Eslovenia [+],101.0,2.055.496,,"0,26%",2011
Eslovaquia [+],110.0,5.404.322,,"0,22%",2011
Sierra Leona [+],88.0,6.387.000,,"2,64%",2011
San Marino [+],556.0,33.376,,"4,75%",2011
Senegal [+],66.0,13.034.000,,"2,81%",2011
Somalia [+],19.0,12.348.830,,"0,71%",2011
Surinam [+],3.0,541.000,,"0,93%",2011
Sudán del Sur [+],16.0,10.288.109,,"5,56%",2011
Santo Tomé y Príncipe [+],194.0,186.000,,"2,20%",2011
El Salvador [+],289.0,6.090.000,,"0,36%",2011
Siria [+],124.0,22.878.098,,"6,94%",2011
Eswatini [+],59.0,1.032.000,,"0,49%",2011
Chad [+],10.0,12.361.000,,"3,42%",2011
Togo [+],122.0,6.916.000,,"2,72%",2011
Tailandia [+],134.0,69.007.000,,"0,62%",2011
Tayikistán [+],55.0,7.816.000,,"2,28%",2011
Timor Oriental [+],74.0,1.098.000,,"2,43%",2011
Turkmenistán [+],11.0,5.361.000,,"1,77%",2011
Túnez [+],67.0,10.886.000,,"1,11%",2011
Tonga [+],137.0,103.000,,0,2011
Türkiye [+],95.0,74.724.269,,"1,36%",2011
Trinidad y Tobago [+],260.0,1.336.000,,"0,60%",2011
Tuvalu [+],367.0,11.000,,"10,00%",2011
Taiwan [+],645.0,23.225.000,,"0,27%",2011
Tanzania [+],47.0,44.063.000,,"2,81%",2011
Ucrania [+],75.0,45.453.282,,"-0,32%",2011
Uganda [+],131.0,31.537.000,,"3,33%",2011
Uruguay [+],19.0,3.413.000,,"0,47%",2011
Uzbekistán [+],66.0,29.123.000,,"4,01%",2011
San Vicente y las Granadinas [+],279.0,109.000,,0,2011
Venezuela [+],32.0,29.185.212,,"2,32%",2011
Viet Nam [+],265.0,87.860.000,,"-0,12%",2011
Vanuatu [+],20.0,245.000,,"2,08%",2011
Samoa [+],66.0,187.000,,"0,54%",2011
Yemen [+],52.0,27.583.000,,"3,10%",2011
Sudáfrica [+],43.0,52.285.000,,"1,51%",2011
Zambia [+],19.0,14.438.000,,"3,38%",2011
Zimbabue [+],32.0,12.459.000,,"0,96%",2011
