Países,Fecha,Deuda total (M.€),Deuda total (M.€).1,Deuda total (M.$),Deuda total (M.$).1,Deuda (%PIB),Deuda Per Cápita,Deuda Per Cápita.1
España [+],2010,649.153,,861.296,,"60,30%",13.910 €,18.456 $
Alemania [+],2010,2.119.242,,2.811.809,,"81,00%",26.417 €,35.050 $
Reino Unido [+],2010,1.385.818,,1.887.345,,"74,30%",21.989 €,29.947 $
Francia [+],2010,1.722.172,,2.285.014,,"86,30%",26.504 €,35.166 $
Italia [+],2010,1.921.444,,2.549.356,,"118,80%",32.052 €,42.526 $
Portugal [+],2010,179.653,,238.819,,"99,90%",16.992 €,22.588 $
Estados Unidos [+],2010,10.849.052,,14.394.512,,"95,65%",35.071 €,46.532 $
Japón [+],2010,7.822.020,,10.378.248,,"178,58%",61.304 €,81.338 $
China [+],2010,1.542.732,,2.046.896,,"33,34%",1.151 €,1.527 $
Andorra [+],2010,911,,1.206,,"35,02%",12.965 €,17.165 $
Emiratos Árabes Unidos [+],2010,42.532,,56.431,,"18,34%",6.107 €,8.102 $
Afganistán [+],2010,889,,1.180,,"7,70%",32 €,42 $
Antigua y Barbuda [+],2010,777,,1.030,,"79,40%",9.136 €,12.122 $
Albania [+],2010,5.193,,6.890,,"57,72%",1.786 €,2.370 $
Armenia [+],2010,2.790,,3.701,,"39,97%",855 €,1.134 $
Angola [+],2010,23.472,,31.142,,"32,59%",1.008 €,1.337 $
Argentina [+],2010,139.104,,184.563,,"43,45%",3.410 €,4.525 $
Austria [+],2010,245.985,,326.372,,"83,70%",29.371 €,38.969 $
Australia [+],2010,192.426,,255.311,,"20,29%",8.679 €,11.515 $
Azerbaiyán [+],2010,1.986,,2.635,,"4,98%",218 €,289 $
Bosnia y Herzegovina [+],2010,5.473,,7.262,,"42,21%",1.424 €,1.890 $
Barbados [+],2010,3.719,,4.934,,"90,33%",13.282 €,17.623 $
Bangladés [+],2010,30.831,,40.907,,"29,62%",209 €,277 $
Bélgica [+],2010,364.353,,483.130,,"100,30%",33.121 €,43.918 $
Burkina Faso [+],2010,1.807,,2.397,,"23,69%",112 €,148 $
Bulgaria [+],2010,5.857,,7.145,,"15,30%",795 €,970 $
Baréin [+],2010,5.815,,7.715,,"28,79%",4.732 €,6.278 $
Burundi [+],2010,718,,953,,"46,91%",77 €,102 $
Benin [+],2010,1.510,,2.004,,"21,00%",154 €,205 $
Brunéi [+],2010,115,,153,,"1,11%",297 €,394 $
Bolivia [+],2010,5.613,,7.447,,"32,81%",551 €,731 $
Brasil [+],2010,1.039.317,,1.378.965,,"62,43%",5.337 €,7.081 $
Bahamas [+],2010,2.563,,3.401,,"33,88%",7.303 €,9.689 $
Bután [+],2010,643,,853,,"55,81%",921 €,1.223 $
Botsuana [+],2010,2.657,,3.526,,"26,55%",1.307 €,1.734 $
Bielorrusia [+],2010,15.872,,21.059,,"36,81%",1.674 €,2.221 $
Belice [+],2010,902,,1.197,,"68,42%",2.801 €,3.716 $
Canadá [+],2010,1.023.636,,1.358.159,,"83,98%",30.102 €,39.939 $
República Democrática del Congo [+],2010,5.354,,7.103,,"31,80%",81 €,108 $
República Centroafricana [+],2010,321,,426,,"19,88%",72 €,96 $
República del Congo [+],2010,4.313,,5.722,,"43,49%",972 €,1.289 $
Suiza [+],2010,186.954,,248.051,,"40,70%",23.755 €,31.518 $
Costa de Marfil [+],2010,11.836,,15.705,,"45,61%",549 €,729 $
Chile [+],2010,14.084,,18.687,,"8,61%",827 €,1.097 $
Camerún [+],2010,2.903,,3.851,,"13,99%",148 €,196 $
Colombia [+],2010,78.809,,104.563,,"36,50%",1.788 €,2.372 $
Costa Rica [+],2010,7.972,,10.577,,"28,09%",1.751 €,2.323 $
Cabo Verde [+],2010,910,,1.207,,"66,15%",1.904 €,2.526 $
Chipre [+],2010,11.693,,14.290,,"60,10%",13.924 €,17.017 $
Chequia [+],2010,59.060,,77.499,,"36,70%",5.632 €,7.390 $
Yibuti [+],2010,324,,431,,"27,88%",386 €,513 $
Dinamarca [+],2010,112.185,,148.677,,"46,10%",20.175 €,26.737 $
Dominica [+],2010,251,,333,,"66,83%",3.533 €,4.687 $
República Dominicana [+],2010,15.163,,20.118,,"37,35%",1.600 €,2.122 $
Argelia [+],2010,12.747,,16.913,,"9,51%",354 €,470 $
Ecuador [+],2010,9.469,,12.564,,"18,44%",636 €,844 $
Estonia [+],2010,1.178,,1.564,,"8,00%",886 €,1.176 $
Egipto [+],2010,120.646,,160.073,,"69,59%",1.533 €,2.034 $
Eritrea [+],2010,2.418,,3.208,,"201,79%",821 €,1.089 $
Etiopía [+],2010,7.992,,10.603,,"39,44%",101 €,135 $
Finlandia [+],2010,94.286,,125.098,,"50,10%",17.541 €,23.273 $
Fiyi [+],2010,1.329,,1.764,,"53,36%",1.567 €,2.080 $
Estados Federados de Micronesia [+],2010,65,,86,,"29,37%",629 €,835 $
Gabón [+],2010,2.309,,3.063,,"21,30%",1.434 €,1.903 $
Granada [+],2010,559,,742,,"96,22%",5.324 €,7.064 $
Georgia [+],2010,2.945,,3.907,,"31,45%",659 €,874 $
Ghana [+],2010,11.277,,14.963,,"32,92%",443 €,587 $
Gambia [+],2010,499,,663,,"42,95%",259 €,344 $
Guinea [+],2010,3.677,,4.879,,"71,14%",338 €,449 $
Guinea Ecuatorial [+],2010,971,,1.289,,"7,89%",1.022 €,1.355 $
Grecia [+],2010,330.570,,438.599,,"147,80%",29.718 €,39.430 $
Guatemala [+],2010,7.507,,9.961,,"24,01%",518 €,687 $
Guinea-Bisáu [+],2010,438,,581,,"61,73%",300 €,398 $
Guyana [+],2010,1.156,,1.533,,"53,08%",1.535 €,2.036 $
Hong Kong [+],2010,1.089,,1.445,,"0,62%",154 €,205 $
Honduras [+],2010,2.604,,3.455,,"21,82%",311 €,413 $
Croacia [+],2010,25.792,,33.534,,"56,80%",6.012 €,7.817 $
Haití [+],2010,2.224,,2.951,,"24,90%",227 €,301 $
Hungría [+],2010,79.115,,105.749,,"80,20%",7.923 €,10.590 $
Indonesia [+],2010,150.035,,199.066,,"26,36%",631 €,838 $
Irlanda [+],2010,144.227,,191.360,,"86,20%",31.553 €,41.865 $
Israel [+],2010,124.537,,165.235,,"69,03%",16.341 €,21.682 $
India [+],2010,854.671,,1.133.977,,"67,68%",687 €,912 $
Irak [+],2010,55.888,,74.152,,"53,53%",1.805 €,2.395 $
Irán [+],2010,57.603,,76.428,,"12,77%",777 €,1.031 $
Islandia [+],2010,9.286,,18.309,,"93,00%",29.160 €,57.493 $
Jamaica [+],2010,14.293,,18.963,,"137,82%",5.301 €,7.034 $
Jordania [+],2010,12.156,,16.128,,"53,40%",1.754 €,2.327 $
Kenia [+],2010,12.558,,16.662,,"36,70%",325 €,432 $
Kirguistán [+],2010,2.157,,2.862,,"59,70%",398 €,528 $
Camboya [+],2010,2.433,,3.228,,"23,53%",168 €,223 $
Kiribati [+],2010,12,,16,,"9,43%",115 €,152 $
Comoras [+],2010,207,,274,,"30,15%",315 €,418 $
San Cristóbal y Nieves [+],2010,792,,1.051,,"134,90%",16.846 €,22.351 $
Corea del Sur [+],2010,254.174,,337.238,,"28,28%",5.129 €,6.805 $
Kuwait [+],2010,5.359,,7.110,,"6,16%",1.827 €,2.424 $
Kazajistán [+],2010,11.920,,15.815,,"10,68%",730 €,969 $
Laos [+],2010,2.790,,3.702,,"49,32%",441 €,585 $
Líbano [+],2010,39.646,,52.603,,"136,83%",7.936 €,10.529 $
Santa Lucía [+],2010,592,,786,,"52,23%",3.462 €,4.594 $
Sri Lanka [+],2010,30.378,,40.306,,"68,73%",1.499 €,1.989 $
Liberia [+],2010,379,,503,,"25,40%",97 €,129 $
Lesoto [+],2010,600,,797,,"33,81%",301 €,399 $
Lituania [+],2010,10.154,,13.468,,"36,70%",3.326 €,4.412 $
Luxemburgo [+],2010,8.095,,10.740,,"19,10%",15.815 €,20.984 $
Letonia [+],2010,8.538,,11.327,,"48,60%",4.115 €,5.460 $
Libia [+],2010,1.614,,2.142,,"2,86%",248 €,330 $
Marruecos [+],2010,34.425,,45.674,,"45,28%",1.070 €,1.419 $
Moldavia [+],2010,1.340,,1.777,,"25,48%",376 €,499 $
Montenegro [+],2010,1.407,,1.866,,"45,07%",2.270 €,3.011 $
Madagascar [+],2010,2.433,,3.229,,"32,34%",120 €,159 $
Islas Marshall [+],2010,47,,63,,"38,83%",896 €,1.189 $
Macedonia del Norte [+],2010,1.722,,2.285,,"24,27%",837 €,1.111 $
Malí [+],2010,2.039,,2.705,,"21,75%",128 €,170 $
Myanmar [+],2010,15.516,,20.587,,"54,39%",316 €,419 $
Mongolia [+],2010,1.677,,2.226,,"30,98%",608 €,806 $
Mauritania [+],2010,1.867,,2.477,,"43,95%",568 €,754 $
Malta [+],2010,4.463,,5.921,,"65,00%",10.753 €,14.268 $
Mauricio [+],2010,4.309,,5.717,,"54,39%",3.447 €,4.574 $
Maldivas [+],2010,1.029,,1.365,,"52,75%",3.215 €,4.266 $
Malaui [+],2010,1.426,,1.892,,"19,31%",91 €,120 $
México [+],2010,334.554,,443.885,,"40,16%",2.915 €,3.868 $
Malasia [+],2010,99.831,,132.456,,"51,21%",3.492 €,4.633 $
Mozambique [+],2010,3.316,,4.399,,"38,55%",141 €,187 $
Namibia [+],2010,1.388,,1.842,,"16,33%",663 €,880 $
Níger [+],2010,891,,1.182,,"15,08%",54 €,72 $
Nigeria [+],2010,26.484,,35.139,,"6,67%",159 €,211 $
Nicaragua [+],2010,2.003,,2.658,,"30,35%",344 €,457 $
Países Bajos [+],2010,379.043,,502.488,,"58,90%",22.757 €,30.169 $
Noruega [+],2010,138.311,,185.144,,"41,70%",28.110 €,37.629 $
Nepal [+],2010,4.869,,6.460,,"35,39%",178 €,236 $
Nauru [+],2010,112,,149,,"298,89%",11.236 €,14.907 $
Nueva Zelanda [+],2010,32.514,,43.139,,"29,60%",7.469 €,9.910 $
Omán [+],2010,2.676,,3.550,,"5,46%",892 €,1.184 $
Panamá [+],2010,8.764,,11.628,,"38,46%",2.393 €,3.175 $
Perú [+],2010,28.246,,37.476,,"25,11%",984 €,1.306 $
Papúa Nueva Guinea [+],2010,1.857,,2.464,,"17,29%",276 €,366 $
Filipinas [+],2010,74.733,,99.156,,"47,59%",802 €,1.065 $
Pakistán [+],2010,84.088,,111.568,,"56,72%",486 €,645 $
Polonia [+],2010,194.932,,256.974,,"53,70%",5.121 €,6.751 $
Estado de Palestina [+],2010,1.658,,2.200,,"22,72%",412 €,547 $
Palaos [+],2010,47,,63,,"34,46%",2.638 €,3.500 $
Paraguay [+],2010,2.653,,3.520,,"12,98%",468 €,621 $
Catar [+],2010,27.450,,36.421,,"30,43%",16.006 €,21.237 $
Rumanía [+],2010,36.725,,51.379,,"29,00%",1.818 €,2.544 $
Serbia [+],2010,13.779,,18.281,,"42,45%",1.900 €,2.521 $
Rusia [+],2010,124.382,,165.030,,"10,11%",871 €,1.155 $
Ruanda [+],2010,868,,1.152,,"19,04%",87 €,115 $
Arabia Saudita [+],2010,33.544,,44.507,,"8,43%",1.399 €,1.856 $
Islas Salomón [+],2010,146,,194,,"21,64%",258 €,343 $
Seychelles [+],2010,601,,798,,"82,22%",6.680 €,8.863 $
Sudán [+],2010,36.933,,49.003,,"74,57%",920 €,1.221 $
Suecia [+],2010,153.348,,190.218,,"38,70%",16.287 €,20.202 $
Singapur [+],2010,183.054,,242.876,,"98,67%",36.056 €,47.838 $
Eslovenia [+],2010,13.918,,18.466,,"38,60%",6.789 €,9.007 $
Eslovaquia [+],2010,27.940,,37.071,,"40,70%",5.181 €,6.875 $
Sierra Leona [+],2010,910,,1.208,,"28,94%",146 €,194 $
San Marino [+],2010,283,,376,,"19,96%",8.882 €,11.786 $
Senegal [+],2010,4.207,,5.582,,"34,60%",332 €,440 $
Surinam [+],2010,610,,810,,"17,32%",1.139 €,1.511 $
Santo Tomé y Príncipe [+],2010,119,,159,,"82,99%",656 €,871 $
El Salvador [+],2010,9.287,,12.322,,"66,79%",1.530 €,2.031 $
Siria [+],2009,12.083,,16.835,,"31,21%",573 €,798 $
Eswatini [+],2010,472,,626,,"14,25%",459 €,609 $
Chad [+],2010,2.424,,3.216,,"22,86%",203 €,269 $
Togo [+],2010,1.198,,1.589,,"33,45%",178 €,236 $
Tailandia [+],2010,100.624,,133.508,,"39,83%",1.467 €,1.947 $
Tayikistán [+],2010,1.567,,2.078,,"36,84%",205 €,272 $
Timor Oriental [+],2010,0,,0,,0%,0 €,0 $
Turkmenistán [+],2010,1.131,,1.500,,"7,04%",215 €,285 $
Túnez [+],2010,13.514,,17.931,,"38,80%",1.255 €,1.665 $
Tonga [+],2010,124,,164,,"44,73%",1.202 €,1.595 $
Türkiye [+],2010,225.106,,302.402,,"42,40%",3.053 €,4.102 $
Trinidad y Tobago [+],2010,4.734,,6.281,,"28,90%",3.565 €,4.730 $
Tuvalu [+],2010,5,,7,,"21,05%",497 €,660 $
Taiwan [+],2010,123.526,,163.895,,"36,89%",5.333 €,7.076 $
Tanzania [+],2010,6.630,,8.797,,"27,61%",155 €,205 $
Ucrania [+],2010,41.646,,55.256,,"39,13%",913 €,1.212 $
Uganda [+],2010,3.415,,4.531,,"18,36%",112 €,148 $
Uruguay [+],2010,13.538,,17.962,,"40,85%",3.985 €,5.288 $
Uzbekistán [+],2010,2.479,,3.290,,"5,92%",89 €,117 $
San Vicente y las Granadinas [+],2010,331,,440,,"61,10%",3.041 €,4.035 $
Venezuela [+],2010,71.966,,95.484,,"37,71%",2.523 €,3.348 $
Viet Nam [+],2010,40.268,,53.427,,"37,29%",458 €,607 $
Vanuatu [+],2010,99,,132,,"18,28%",414 €,549 $
Samoa [+],2010,206,,274,,"40,28%",1.110 €,1.472 $
Yemen [+],2010,9.872,,13.098,,"42,38%",369 €,490 $
Sudáfrica [+],2010,98.087,,130.141,,"31,19%",1.904 €,2.527 $
Zambia [+],2010,2.886,,3.830,,"18,90%",207 €,274 $
Zimbabue [+],2010,3.718,,2,,"33,19%",301 €,0 $
