Países,Fecha,PIB Per Capita,PIB Per Capita.1,PIB Per Capita.2,PIB Per Capita.3,Var. anual PIB Per Capita,Var. anual PIB Per Capita.1,Var. anual PIB Per Capita.2,Var. anual PIB Per Capita.3
España [+],2011,22.870 €,,31.768 $,,"-1,1%",,"3,7%",
Alemania [+],2011,34.220 €,,47.622 $,,"5,0%",,"10,2%",
Reino Unido [+],2011,30.230 €,,42.293 $,,"1,3%",,"6,2%",
Francia [+],2011,31.700 €,,44.198 $,,"2,8%",,"7,8%",
Italia [+],2011,27.610 €,,38.476 $,,"2,1%",,"7,0%",
Portugal [+],2011,16.670 €,,23.205 $,,"-2,0%",,"2,8%",
Zona Euro [+],2011,29.730 €,,41.483 $,,"2,3%",,"7,7%",
Estados Unidos [+],2011,35.933 €,,50.008 $,,"-1,9%",,"2,9%",
Japón [+],2011,33.200 €,,49.123 $,,"2,5%",,"7,9%",
China [+],2011,4.063 €,,5.654 $,,"17,7%",,"23,5%",
Andorra [+],2011,37.368 €,,51.957 $,,"0,9%",,"6,0%",
Emiratos Árabes Unidos [+],2011,36.592 €,,50.925 $,,"9,9%",,"15,3%",
Afganistán [+],2011,439 €,,612 $,,"7,3%",,"12,5%",
Antigua y Barbuda [+],2011,10.810 €,,15.045 $,,"-6,5%",,"-1,9%",
Albania [+],2011,3.230 €,,4.440 $,,"2,5%",,"8,3%",
Armenia [+],2011,2.410 €,,3.354 $,,"4,3%",,"9,4%",
Angola [+],2011,3.725 €,,5.184 $,,"20,5%",,"26,4%",
Argentina [+],2011,9.189 €,,12.788 $,,"17,1%",,"22,8%",
Austria [+],2011,36.740 €,,51.127 $,,"4,5%",,"9,6%",
Australia [+],2011,48.508 €,,67.509 $,,"13,4%",,"18,9%",
Azerbaiyán [+],2011,5.201 €,,7.239 $,,"17,4%",,"23,1%",
Bosnia y Herzegovina [+],2011,3.790 €,,5.100 $,,"3,6%",,"9,8%",
Barbados [+],2011,14.246 €,,19.826 $,,"-2,7%",,"2,1%",
Bangladés [+],2011,742 €,,1.032 $,,"5,2%",,"10,3%",
Bélgica [+],2011,34.310 €,,47.916 $,,"2,9%",,"7,8%",
Burkina Faso [+],2011,521 €,,725 $,,"10,5%",,"15,9%",
Bulgaria [+],2011,5.640 €,,7.878 $,,"11,0%",,"16,4%",
Baréin [+],2011,17.987 €,,25.033 $,,"9,4%",,"14,7%",
Burundi [+],2011,165 €,,230 $,,"1,2%",,"6,2%",
Benin [+],2011,761 €,,1.059 $,,"3,7%",,"8,7%",
Brunéi [+],2011,33.835 €,,47.089 $,,"26,7%",,"32,8%",
Bolivia [+],2011,1.938 €,,2.697 $,,"15,4%",,"21,0%",
Brasil [+],2011,9.575 €,,13.326 $,,"12,0%",,"17,5%",
Bahamas [+],2011,20.382 €,,28.366 $,,"-5,9%",,"-1,3%",
Bután [+],2011,1.915 €,,2.665 $,,"16,0%",,"21,7%",
Botsuana [+],2011,5.236 €,,7.287 $,,"11,8%",,"17,2%",
Bielorrusia [+],2011,4.660 €,,6.486 $,,"2,5%",,"7,5%",
Belice [+],2011,4.008 €,,5.578 $,,"-2,0%",,"2,8%",
Canadá [+],2011,37.569 €,,52.286 $,,"4,7%",,"9,8%",
