Países,Fecha,PIB anual,PIB anual.1,PIB anual.2,PIB anual.3,Var. PIB (%),Var. PIB (%).1
España [+],2011,1.068.690 M€,,1.487.569 M$,,"-0,6%",
Alemania [+],2011,2.746.910 M€,,3.823.576 M$,,"3,8%",
Reino Unido [+],2011,1.912.869 M€,,2.675.590 M$,,"1,3%",
Francia [+],2011,2.062.141 M€,,2.870.409 M$,,"2,4%",
Italia [+],2011,1.657.362 M€,,2.306.974 M$,,"0,7%",
Portugal [+],2011,176.318 M€,,245.427 M$,,"-1,7%",
Zona Euro [+],2011,9.824.849 M€,,13.808.563 M$,,"1,7%",
Estados Unidos [+],2011,11.209.034 M€,,15.599.700 M$,,"1,6%",
Japón [+],2011,4.247.574 M€,,6.279.423 M$,,"-0,5%",
China [+],2011,5.481.302 M€,,7.671.757 M$,,"9,6%",
Andorra [+],2011,2.607 M€,,3.625 M$,,"0,0%",
Emiratos Árabes Unidos [+],2011,265.056 M€,,368.881 M$,,"6,7%",
Afganistán [+],2011,12.855 M€,,17.890 M$,,"6,5%",
Antigua y Barbuda [+],2011,925 M€,,1.287 M$,,"-2,0%",
Albania [+],2011,9.391 M€,,12.974 M$,,"2,5%",
Armenia [+],2011,7.287 M€,,10.142 M$,,"4,7%",
Angola [+],2011,90.214 M€,,125.552 M$,,"3,6%",
Argentina [+],2011,379.134 M€,,530.158 M$,,"6,0%",
Austria [+],2011,308.167 M€,,428.955 M$,,"2,9%",
Australia [+],2011,1.092.498 M€,,1.553.207 M$,,"4,0%",
Azerbaiyán [+],2011,47.389 M€,,65.952 M$,,"0,1%",
Bosnia y Herzegovina [+],2011,13.412 M€,,18.665 M$,,"1,0%",
Barbados [+],2011,3.997 M€,,5.563 M$,,"-0,1%",
Bangladés [+],2011,110.725 M€,,154.097 M$,,"6,5%",
Bélgica [+],2011,378.745 M€,,527.197 M$,,"1,9%",
Burkina Faso [+],2011,8.679 M€,,12.078 M$,,"6,6%",
Bulgaria [+],2011,41.479 M€,,57.681 M$,,"2,1%",
Baréin [+],2011,21.495 M€,,29.915 M$,,"1,9%",
Burundi [+],2011,1.607 M€,,2.236 M$,,"4,0%",
Benin [+],2011,7.682 M€,,10.691 M$,,"3,0%",
Brunéi [+],2011,13.310 M€,,18.524 M$,,"3,7%",
Bolivia [+],2011,20.058 M€,,27.915 M$,,"5,5%",
Brasil [+],2011,1.878.284 M€,,2.616.157 M$,,"4,0%",
