Países,Fecha,Deuda total (M.€),Deuda total (M.€).1,Deuda total (M.$),Deuda total (M.$).1,Deuda (%PIB),Deuda Per Cápita,Deuda Per Cápita.1
Irak [+],2011,54.348,,75.636,,"40,72%",1.711 €,2.381 $
Irán [+],2011,55.092,,76.673,,"10,62%",733 €,1.020 $
Islandia [+],2011,10.184,,21.033,,"99,10%",31.867 €,65.814 $
Jamaica [+],2011,14.678,,20.427,,"135,94%",5.430 €,7.557 $
Jordania [+],2011,13.167,,18.325,,"56,14%",1.852 €,2.577 $
Kenia [+],2011,11.938,,16.614,,"35,69%",302 €,421 $
Kirguistán [+],2011,2.229,,3.102,,"50,06%",407 €,566 $
Camboya [+],2011,2.738,,3.811,,"23,74%",186 €,259 $
Kiribati [+],2011,13,,18,,"8,80%",121 €,169 $
Comoras [+],2011,203,,282,,"27,56%",302 €,421 $
San Cristóbal y Nieves [+],2011,764,,1.063,,"127,07%",16.246 €,22.610 $
Corea del Sur [+],2011,297.760,,414.396,,"31,70%",5.963 €,8.298 $
Kuwait [+],2011,5.136,,7.148,,"4,64%",1.582 €,2.201 $
Kazajistán [+],2011,14.064,,19.573,,"10,16%",849 €,1.182 $
Laos [+],2011,2.770,,3.855,,"43,01%",432 €,601 $
Líbano [+],2011,38.554,,53.656,,"134,39%",7.642 €,10.636 $
Santa Lucía [+],2011,622,,866,,"54,94%",3.618 €,5.035 $
Liechtenstein [+],2011,17,,24,,"0,37%",466 €,648 $
Sri Lanka [+],2011,33.786,,47.020,,"69,43%",1.656 €,2.305 $
Liberia [+],2011,382,,531,,"22,52%",95 €,132 $
Lesoto [+],2011,668,,930,,"36,17%",332 €,462 $
Lituania [+],2011,11.632,,16.188,,"37,40%",3.873 €,5.390 $
Luxemburgo [+],2011,8.201,,11.413,,"18,50%",15.626 €,21.746 $
Letonia [+],2011,8.949,,12.561,,"46,60%",4.376 €,6.143 $
Libia [+],2011,6.636,,9.235,,"26,61%",1.046 €,1.456 $
Marruecos [+],2011,38.275,,53.267,,"48,56%",1.175 €,1.635 $
Moldavia [+],2011,1.464,,2.037,,"24,20%",411 €,572 $
Montenegro [+],2011,1.586,,2.207,,"48,97%",2.557 €,3.558 $
Madagascar [+],2011,2.486,,3.459,,"29,95%",119 €,166 $
Islas Marshall [+],2011,45,,62,,"35,92%",841 €,1.170 $
Macedonia del Norte [+],2011,2.092,,2.911,,"27,73%",1.016 €,1.413 $
Malí [+],2011,2.237,,3.114,,"20,14%",136 €,189 $
Myanmar [+],2011,19.107,,26.592,,"49,94%",386 €,538 $
Mongolia [+],2011,2.442,,3.399,,"32,65%",869 €,1.209 $
Mauritania [+],2011,1.893,,2.634,,"38,84%",562 €,782 $
Malta [+],2011,4.848,,6.747,,"68,90%",11.611 €,16.159 $
Mauricio [+],2011,4.741,,6.598,,"54,87%",3.787 €,5.270 $
Maldivas [+],2011,980,,1.363,,"51,86%",3.014 €,4.195 $
Malaui [+],2011,1.614,,2.246,,"19,98%",100 €,139 $
México [+],2011,363.542,,505.946,,"41,17%",3.122 €,4.345 $
Malasia [+],2011,112.688,,156.828,,"51,90%",3.877 €,5.396 $
Mozambique [+],2011,3.588,,4.993,,"34,16%",148 €,206 $
Namibia [+],2011,2.450,,3.410,,"27,45%",1.152 €,1.603 $
