Country,Year,PIB anual (M€)
Bielorrusia,2010,43126
Belice,2010,1318
Canada,2010,1218983
República Democrática del Congo,2010,16838
República Centroafricana,2010,1616
República del Congo,2010,9918
Switzerland,2010,460894
Costa de Marfil,2010,25950
Chile,2010,163631
Camerún,2010,20749
Colombia,2010,215932
Costa Rica,2010,28381
Cuba,2010,44929
Cabo Verde,2010,1375
Cyprus,2010,19461
Czech Republic,2010,159506
Yibuti,2010,1164
Denmark,2010,243430
Dominica,2010,372
República Dominicana,2010,40595
Argelia,2010,133995
Ecuador,2010,51365
Estonia,2010,14742
Egipto,2010,173368
Eritrea,2010,1198
Etiopía,2010,20265
Finland,2010,188147
Fiyi,2010,2564
Estados Federados de Micronesia,2010,220
Gabón,2010,10841
Granada,2010,581
Georgia,2010,9365
Ghana,2010,34253
Gambia,2010,1163
Guinea,2010,5169
Guinea Ecuatorial,2010,12306
Greece,2010,223591
Guatemala,2010,31273
Guinea-Bisáu,2010,709
Guyana,2010,2177
Hong Kong,2010,172324
Honduras,2010,11936
Croacia,2010,45984
Haití,2010,8933
Hungría,2010,99563
Indonesia,2010,569110
EIRE,2010,167151
Israel,2010,180414
India,2010,1262900
Irak,2010,104399
Irán,2010,451135
Iceland,2010,10513
Jamaica,2010,10201
Jordania,2010,22764
Kenia,2010,34222
Kirguistán,2010,3613
Camboya,2010,10341
Kiribati,2010,125
Comoras,2010,685
San Cristóbal y Nieves,2010,587
Corea del Norte,2010,10519
Korea,2010,898947
Kuwait,2010,86977
Kazajistán,2010,111582
Laos,2010,5657
Lebanon,2010,28975
Santa Lucía,2010,1118
Liechtenstein,2010,3840
Sri Lanka,2010,44199
Liberia,2010,1482
Lesoto,2010,1776
Lithuania,2010,27663
Luxemburgo,2010,42403
Letonia,2010,17572
Libia,2010,56814
Marruecos,2010,76033
Mónaco,2010,4049
Moldavia,2010,5259
Montenegro,2010,3121
Madagascar,2010,7524
Islas Marshall,2010,121
Macedonia del Norte,2010,7108
Malí,2010,9374
Myanmar,2010,28528
