Country,Deuda total (M.€),Deuda (%PIB),Deuda Per Cápita,Year
Trinidad y Tobago,5309,34.17,4019,2009
Tuvalu,4,20.56,391,2009
Taiwan,102978,36.71,4454,2009
Tanzania,5032,23.93,120,2009
Ucrania,29768,34.12,650,2009
Uganda,2560,14.79,87,2009
Uruguay,11456,46.18,3391,2009
Uzbekistán,2198,6.57,80,2009
San Vicente y las Granadinas,293,57.25,2691,2009
Venezuela,27543,27.57,980,2009
Viet Nam,33495,36.17,385,2009
Vanuatu,89,19.1,382,2009
Samoa,148,33.26,802,2009
Yemen,8990,49.84,347,2009
RSA,64167,27.0,1264,2009
Zambia,2258,20.52,167,2009
Zimbabue,3417,39.74,279,2009
Spain,649153,60.3,13910,2010
Germany,2119242,81.0,26417,2010
United Kingdom,1385818,74.3,21989,2010
France,1722172,86.3,26504,2010
Italy,1921444,118.8,32052,2010
Portugal,179653,99.9,16992,2010
USA,10849052,95.65,35071,2010
Japan,7822020,178.58,61304,2010
China,1542732,33.34,1151,2010
Andorra,911,35.02,12965,2010
United Arab Emirates,42532,18.34,6107,2010
Afganistán,889,7.7,32,2010
Antigua y Barbuda,777,79.4,9136,2010
Albania,5193,57.72,1786,2010
Armenia,2790,39.97,855,2010
Angola,23472,32.59,1008,2010
Argentina,139104,43.45,3410,2010
Austria,245985,83.7,29371,2010
Australia,192426,20.29,8679,2010
Azerbaiyán,1986,4.98,218,2010
Bosnia y Herzegovina,5473,42.21,1424,2010
Barbados,3719,90.33,13282,2010
Bangladés,30831,29.62,209,2010
Belgium,364353,100.3,33121,2010
Burkina Faso,1807,23.69,112,2010
Bulgaria,5857,15.3,795,2010
Bahrain,5815,28.79,4732,2010
Burundi,718,46.91,77,2010
Benin,1510,21.0,154,2010
Brunéi,115,1.11,297,2010
Bolivia,5613,32.81,551,2010
Brazil,1039317,62.43,5337,2010
Bahamas,2563,33.88,7303,2010
Bután,643,55.81,921,2010
Botsuana,2657,26.55,1307,2010
Bielorrusia,15872,36.81,1674,2010
Belice,902,68.42,2801,2010
Canada,1023636,83.98,30102,2010
República Democrática del Congo,5354,31.8,81,2010
República Centroafricana,321,19.88,72,2010
República del Congo,4313,43.49,972,2010
Switzerland,186954,40.7,23755,2010
Costa de Marfil,11836,45.61,549,2010
Chile,14084,8.61,827,2010
Camerún,2903,13.99,148,2010
Colombia,78809,36.5,1788,2010
Costa Rica,7972,28.09,1751,2010
Cabo Verde,910,66.15,1904,2010
Cyprus,11693,60.1,13924,2010
Czech Republic,59060,36.7,5632,2010
Yibuti,324,27.88,386,2010
Denmark,112185,46.1,20175,2010
Dominica,251,66.83,3533,2010
República Dominicana,15163,37.35,1600,2010
Argelia,12747,9.51,354,2010
Ecuador,9469,18.44,636,2010
Estonia,1178,8.0,886,2010
Egipto,120646,69.59,1533,2010
Eritrea,2418,201.79,821,2010
Etiopía,7992,39.44,101,2010
Finland,94286,50.1,17541,2010
Fiyi,1329,53.36,1567,2010
Estados Federados de Micronesia,65,29.37,629,2010
Gabón,2309,21.3,1434,2010
Granada,559,96.22,5324,2010
Georgia,2945,31.45,659,2010
Ghana,11277,32.92,443,2010
Gambia,499,42.95,259,2010
Guinea,3677,71.14,338,2010
Guinea Ecuatorial,971,7.89,1022,2010
Greece,330570,147.8,29718,2010
Guatemala,7507,24.01,518,2010
Guinea-Bisáu,438,61.73,300,2010
Guyana,1156,53.08,1535,2010
Hong Kong,1089,0.62,154,2010
Honduras,2604,21.82,311,2010
Croacia,25792,56.8,6012,2010
Haití,2224,24.9,227,2010
Hungría,79115,80.2,7923,2010
