Países,Fecha,PIB Per Capita,PIB Per Capita.1,PIB Per Capita.2,PIB Per Capita.3,Var. anual PIB Per Capita,Var. anual PIB Per Capita.1,Var. anual PIB Per Capita.2,Var. anual PIB Per Capita.3
Honduras [+],2009,1.278 €,,1.781 $,,"8,5%",,"2,8%",
Croacia [+],2009,10.650 €,,14.460 $,,"-5,4%",,"-9,0%",
Haití [+],2009,839 €,,1.169 $,,"14,8%",,"8,8%",
Hungría [+],2009,9.420 €,,13.040 $,,"-12,7%",,"-17,2%",
Indonesia [+],2009,1.772 €,,2.469 $,,"7,8%",,"2,2%",
Irlanda [+],2009,37.320 €,,51.944 $,,"-10,4%",,"-14,8%",
Israel [+],2009,20.443 €,,28.483 $,,"-0,6%",,"-5,8%",
India [+],2009,786 €,,1.095 $,,"16,4%",,"10,3%",
Irak [+],2009,2.657 €,,3.702 $,,"-12,6%",,"-17,2%",
Irán [+],2009,4.992 €,,6.955 $,,"6,4%",,"0,8%",
Islandia [+],2009,29.700 €,,41.371 $,,"-15,5%",,"-28,5%",
Jamaica [+],2009,3.319 €,,4.624 $,,"-7,3%",,"-12,2%",
Jordania [+],2009,2.907 €,,4.050 $,,"10,6%",,"4,8%",
Kenia [+],2009,806 €,,1.123 $,,"6,0%",,"0,4%",
Kirguistán [+],2009,629 €,,877 $,,"-4,7%",,"-9,8%",
Camboya [+],2009,643 €,,914 $,,"8,2%",,"0,8%",
Kiribati [+],2009,1.012 €,,1.410 $,,"-2,0%",,"-7,1%",
Comoras [+],2009,1.010 €,,1.408 $,,"2,1%",,"-3,2%",
San Cristóbal y Nieves [+],2009,11.850 €,,16.510 $,,"4,8%",,"-0,7%",
Corea del Norte [+],2009,347 €,,484 $,,"-5,3%",,"-10,2%",
Corea del Sur [+],2009,14.307 €,,19.152 $,,"-5,6%",,"-10,3%",
Kuwait [+],2009,27.386 €,,38.156 $,,"-24,1%",,"-28,1%",
Kazajistán [+],2009,5.143 €,,7.165 $,,"-11,2%",,"-15,8%",
Laos [+],2009,741 €,,1.032 $,,"12,4%",,"6,5%",
Líbano [+],2009,5.132 €,,7.150 $,,"26,7%",,"20,0%",
Santa Lucía [+],2009,5.913 €,,8.239 $,,"2,9%",,"-2,5%",
Liechtenstein [+],2009,90.400 €,,136.253 $,,"-7,2%",,"-12,6%",
Sri Lanka [+],2009,1.774 €,,2.472 $,,"8,2%",,"2,5%",
Liberia [+],2009,337 €,,470 $,,"6,9%",,"1,2%",
Lesoto [+],2009,702 €,,978 $,,"22,8%",,"16,4%",
Lituania [+],2009,8.530 €,,11.885 $,,"-16,5%",,"-20,8%",
Luxemburgo [+],2009,78.380 €,,110.249 $,,"-4,2%",,"-9,3%",
Letonia [+],2009,8.590 €,,11.910 $,,"-19,9%",,"-23,9%",
Libia [+],2009,6.850 €,,9.544 $,,"-27,6%",,"-31,4%",
Marruecos [+],2009,2.270 €,,3.163 $,,"4,7%",,"-0,8%",
Mónaco [+],2009,121.274 €,,169.150 $,,"-12,7%",,"-17,2%",
Moldavia [+],2009,1.357 €,,1.891 $,,"-5,1%",,"-10,1%",
Montenegro [+],2009,4.820 €,,6.719 $,,"-4,0%",,"-9,1%",
Madagascar [+],2009,351 €,,489 $,,"-8,1%",,"-13,0%",
Islas Marshall [+],2009,2.076 €,,2.893 $,,"9,3%",,"3,5%",
Macedonia del Norte [+],2009,3.300 €,,4.799 $,,"-4,1%",,"-4,5%",
Malí [+],2009,554 €,,772 $,,"6,0%",,"0,5%",
Myanmar [+],2009,452 €,,629 $,,"27,1%",,"20,4%",
Mongolia [+],2009,1.211 €,,1.688 $,,"-15,6%",,"-20,0%",
Mauritania [+],2009,1.059 €,,1.476 $,,"-5,5%",,"-10,4%",
Malta [+],2009,15.240 €,,21.319 $,,"0,1%",,"-5,2%",
Mauricio [+],2009,5.323 €,,7.417 $,,"-3,8%",,"-8,9%",
Maldivas [+],2009,5.348 €,,7.451 $,,"7,2%",,"1,5%",
Malaui [+],2009,410 €,,571 $,,"19,5%",,"13,2%",
México [+],2009,5.991 €,,8.347 $,,"-15,6%",,"-20,0%",
Malasia [+],2009,5.415 €,,7.544 $,,"-9,2%",,"-13,9%",
Mozambique [+],2009,384 €,,536 $,,"-2,5%",,"-7,6%",
Namibia [+],2009,3.103 €,,4.324 $,,"9,2%",,"3,4%",
Níger [+],2009,332 €,,462 $,,"2,2%",,"-3,1%",
Nigeria [+],2009,1.888 €,,2.631 $,,"-7,5%",,"-12,4%",
Nicaragua [+],2009,1.037 €,,1.445 $,,"1,8%",,"-3,6%",
Países Bajos [+],2009,38.120 €,,53.258 $,,"-3,7%",,"-8,8%",
Noruega [+],2009,59.030 €,,81.703 $,,"-13,1%",,"-17,1%",
Nepal [+],2009,387 €,,540 $,,"7,4%",,"1,8%",
Nauru [+],2009,3.395 €,,4.730 $,,"40,5%",,"33,1%",
Nueva Zelanda [+],2009,20.341 €,,28.341 $,,"-6,0%",,"-10,9%",
Omán [+],2009,13.806 €,,19.236 $,,"-19,0%",,"-23,2%",
Panamá [+],2009,5.541 €,,7.720 $,,"12,1%",,"6,2%",
Perú [+],2009,3.085 €,,4.298 $,,"6,8%",,"1,2%",
Papúa Nueva Guinea [+],2009,1.316 €,,1.833 $,,"2,7%",,"-2,7%",
Filipinas [+],2009,1.381 €,,1.924 $,,"0,9%",,"-4,4%",
Pakistán [+],2009,796 €,,1.109 $,,"-4,7%",,"-9,7%",
Polonia [+],2009,8.330 €,,11.563 $,,"-13,6%",,"-17,7%",
Estado de Palestina [+],2009,1.480 €,,2.062 $,,"13,7%",,"7,7%",
Palaos [+],2009,7.156 €,,9.970 $,,"-0,5%",,"-5,8%",
Paraguay [+],2009,2.851 €,,3.973 $,,"-4,8%",,"-9,8%",
Catar [+],2009,38.631 €,,53.823 $,,"-21,6%",,"-25,7%",
Rumanía [+],2009,6.150 €,,8.541 $,,"-13,9%",,"-18,2%",
Serbia [+],2009,4.610 €,,6.413 $,,"-8,7%",,"-12,9%",
Rusia [+],2009,6.525 €,,9.091 $,,"-22,4%",,"-26,5%",
Ruanda [+],2009,415 €,,578 $,,"13,1%",,"7,2%",
Arabia Saudita [+],2009,13.520 €,,18.837 $,,"-15,0%",,"-19,5%",
Islas Salomón [+],2009,1.048 €,,1.461 $,,"6,7%",,"1,1%",
Seychelles [+],2009,6.858 €,,9.555 $,,"-11,4%",,"-16,1%",
Sudán [+],2009,1.006 €,,1.401 $,,"-13,0%",,"-17,6%",
Suecia [+],2009,33.670 €,,46.497 $,,"-12,0%",,"-16,4%",
Singapur [+],2009,27.939 €,,38.927 $,,"2,7%",,"-2,7%",
Eslovenia [+],2009,17.550 €,,24.563 $,,"-6,0%",,"-11,0%",
Eslovaquia [+],2009,11.820 €,,16.581 $,,"-3,3%",,"-8,2%",
Sierra Leona [+],2009,450 €,,627 $,,"-0,7%",,"-5,9%",
San Marino [+],2009,48.097 €,,67.012 $,,"-10,6%",,"-15,3%",
Senegal [+],2009,938 €,,1.308 $,,"-1,7%",,"-6,9%",
Somalia [+],2009,177 €,,247 $,,"-48,7%",,"-51,4%",
Surinam [+],2009,5.645 €,,7.865 $,,"14,2%",,"8,2%",
Sudán del Sur [+],2009,949 €,,1.323 $,,"-15,7%",,"-20,0%",
Santo Tomé y Príncipe [+],2009,810 €,,1.128 $,,"10,1%",,"4,3%",
El Salvador [+],2009,2.089 €,,2.910 $,,"3,0%",,"-2,4%",
Siria [+],2009,1.835 €,,2.557 $,,"5,6%",,"0,0%",
Eswatini [+],2009,2.455 €,,3.420 $,,"14,4%",,"8,3%",
Chad [+],2009,764 €,,1.064 $,,"-6,1%",,"-11,1%",
Togo [+],2009,517 €,,720 $,,"5,7%",,"0,1%",
Tailandia [+],2009,2.968 €,,4.135 $,,"1,3%",,"-4,0%",
Tayikistán [+],2009,478 €,,666 $,,"0,1%",,"-5,2%",
Timor Oriental [+],2009,499 €,,695 $,,"15,3%",,"9,2%",
Turkmenistán [+],2009,2.609 €,,3.636 $,,"-2,1%",,"-7,2%",
Túnez [+],2009,3.072 €,,4.281 $,,"1,3%",,"-4,1%",
Tonga [+],2009,2.182 €,,3.040 $,,"-4,5%",,"-9,5%",
Türkiye [+],2009,6.500 €,,9.108 $,,"-12,8%",,"-17,9%",
Trinidad y Tobago [+],2009,10.606 €,,14.777 $,,"-27,3%",,"-31,1%",
Tuvalu [+],2009,1.981 €,,2.760 $,,"-8,6%",,"-13,4%",
Taiwan [+],2009,12.133 €,,16.905 $,,"-1,2%",,"-6,4%",
Tanzania [+],2009,502 €,,700 $,,"8,4%",,"2,7%",
Ucrania [+],2009,1.906 €,,2.655 $,,"-31,6%",,"-35,2%",
Uganda [+],2009,586 €,,816 $,,"9,8%",,"4,0%",
Uruguay [+],2009,7.344 €,,10.232 $,,"9,6%",,"3,8%",
Uzbekistán [+],2009,1.214 €,,1.692 $,,"21,4%",,"15,0%",
San Vicente y las Granadinas [+],2009,4.711 €,,6.564 $,,"2,8%",,"-2,6%",
Venezuela [+],2009,6.860 €,,9.558 $,,"-8,9%",,"-13,7%",
Viet Nam [+],2009,1.063 €,,1.481 $,,"8,1%",,"2,4%",
Vanuatu [+],2009,2.000 €,,2.787 $,,"4,7%",,"-0,8%",
Samoa [+],2009,2.404 €,,3.350 $,,"-5,4%",,"-10,4%",
Yemen [+],2009,696 €,,969 $,,"-4,5%",,"-9,6%",
Sudáfrica [+],2009,4.681 €,,6.522 $,,"8,9%",,"3,2%",
