Países,Deuda total (M.€),Deuda total (M.€).1,Deuda total (M.$),Deuda total (M.$).1,Deuda (%PIB),Deuda Per Cápita,Deuda Per Cápita.1,Fecha
Sudáfrica [+],98.087,,130.141,,"31,19%",1.904 €,2.527 $,2010.0
Zambia [+],2.886,,3.830,,"18,90%",207 €,274 $,2010.0
Zimbabue [+],3.718,,2,,"33,19%",301 €,0 $,2010.0
España [+],743.043,,1.034.101,,"69,50%",15.871 €,22.088 $,2011.0
Alemania [+],2.155.876,,3.000.355,,"78,50%",26.838 €,37.351 $,2011.0
Reino Unido [+],1.589.482,,2.169.749,,"80,00%",25.032 €,34.170 $,2011.0
Francia [+],1.830.136,,2.546.969,,"88,70%",28.036 €,39.018 $,2011.0
Italia [+],1.974.408,,2.747.788,,"119,10%",32.849 €,45.716 $,2011.0
Portugal [+],201.044,,279.796,,"114,00%",19.040 €,26.498 $,2011.0
Estados Unidos [+],11.212.081,,15.603.965,,"100,03%",35.975 €,50.067 $,2011.0
Japón [+],8.598.289,,11.966.324,,"190,56%",67.263 €,93.611 $,2011.0
China [+],1.818.920,,2.531.409,,"33,18%",1.350 €,1.879 $,2011.0
Andorra [+],951,,1.322,,"36,49%",13.636 €,18.952 $,2011.0
Emiratos Árabes Unidos [+],54.090,,75.278,,"20,41%",7.467 €,10.392 $,2011.0
Afganistán [+],964,,1.342,,"7,50%",33 €,46 $,2011.0
Antigua y Barbuda [+],750,,1.044,,"81,13%",8.724 €,12.141 $,2011.0
Albania [+],5.507,,7.664,,"59,41%",1.897 €,2.640 $,2011.0
Armenia [+],3.077,,4.282,,"42,22%",940 €,1.308 $,2011.0
Angola [+],23.742,,33.043,,"26,32%",980 €,1.364 $,2011.0
Argentina [+],147.615,,205.437,,"38,94%",3.578 €,4.979 $,2011.0
Austria [+],256.876,,357.497,,"83,40%",30.551 €,42.518 $,2011.0
Australia [+],261.789,,364.335,,"23,96%",11.624 €,16.177 $,2011.0
Azerbaiyán [+],2.354,,3.276,,"4,97%",255 €,355 $,2011.0
Bosnia y Herzegovina [+],5.491,,7.641,,"40,94%",1.430 €,1.990 $,2011.0
Barbados [+],3.760,,5.233,,"94,39%",13.381 €,18.623 $,2011.0
Bangladés [+],32.545,,45.294,,"29,39%",218 €,303 $,2011.0
Bélgica [+],389.536,,541.524,,"102,80%",35.170 €,48.892 $,2011.0
Burkina Faso [+],2.127,,2.960,,"24,50%",128 €,178 $,2011.0
Bulgaria [+],6.285,,8.275,,"15,20%",858 €,1.129 $,2011.0
Baréin [+],6.782,,9.439,,"31,55%",5.675 €,7.899 $,2011.0
Burundi [+],686,,955,,"42,71%",71 €,98 $,2011.0
Benin [+],1.679,,2.337,,"21,86%",166 €,232 $,2011.0
Brunéi [+],283,,394,,"2,13%",721 €,1.003 $,2011.0
Bolivia [+],6.126,,8.526,,"30,54%",592 €,824 $,2011.0
Brasil [+],1.138.874,,1.584.982,,"60,63%",5.806 €,8.080 $,2011.0
Bahamas [+],2.555,,3.556,,"35,26%",7.198 €,10.017 $,2011.0
Bután [+],842,,1.172,,"62,33%",1.193 €,1.660 $,2011.0
Botsuana [+],3.050,,4.245,,"27,89%",1.471 €,2.047 $,2011.0
Bielorrusia [+],25.674,,35.730,,"58,22%",2.712 €,3.775 $,2011.0
Belice [+],872,,1.213,,"66,22%",2.658 €,3.699 $,2011.0
Canadá [+],1.086.066,,1.511.488,,"84,28%",31.628 €,44.016 $,2011.0
República Democrática del Congo [+],1.483,,2.063,,"7,81%",22 €,30 $,2011.0
República Centroafricana [+],345,,480,,"19,69%",76 €,106 $,2011.0
República del Congo [+],3.868,,5.383,,"34,39%",844 €,1.174 $,2011.0
Suiza [+],215.435,,299.823,,"41,24%",27.083 €,37.691 $,2011.0
Costa de Marfil [+],12.772,,17.775,,"50,03%",576 €,802 $,2011.0
Chile [+],20.086,,27.954,,"11,13%",1.167 €,1.625 $,2011.0
Camerún [+],3.491,,4.859,,"15,86%",173 €,240 $,2011.0
Colombia [+],86.126,,119.863,,"35,78%",1.933 €,2.690 $,2011.0
Costa Rica [+],9.068,,12.620,,"29,51%",1.966 €,2.736 $,2011.0
Cabo Verde [+],1.053,,1.465,,"71,56%",2.188 €,3.045 $,2011.0
Chipre [+],13.877,,17.910,,"69,90%",16.099 €,20.777 $,2011.0
Chequia [+],62.576,,91.188,,"39,40%",5.957 €,8.680 $,2011.0
Yibuti [+],321,,447,,"25,68%",376 €,523 $,2011.0
Dinamarca [+],124.292,,172.111,,"50,00%",22.272 €,30.841 $,2011.0
Dominica [+],247,,344,,"69,68%",3.527 €,4.909 $,2011.0
República Dominicana [+],16.300,,22.685,,"39,11%",1.701 €,2.368 $,2011.0
Argelia [+],13.300,,18.510,,"8,48%",362 €,504 $,2011.0
Ecuador [+],10.560,,14.697,,"18,61%",697 €,969 $,2011.0
Estonia [+],1.272,,1.770,,"7,60%",960 €,1.336 $,2011.0
Egipto [+],129.638,,180.419,,"72,83%",1.610 €,2.241 $,2011.0
Eritrea [+],2.546,,3.543,,"171,57%",849 €,1.182 $,2011.0
Etiopía [+],9.760,,13.583,,"44,57%",121 €,168 $,2011.0
Finlandia [+],102.829,,143.108,,"52,00%",19.038 €,26.495 $,2011.0
Fiyi [+],1.431,,1.991,,"50,98%",1.679 €,2.337 $,2011.0
Estados Federados de Micronesia [+],63,,88,,"28,60%",608 €,846 $,2011.0
Gabón [+],2.803,,3.901,,"21,43%",1.677 €,2.334 $,2011.0
Granada [+],575,,801,,"102,78%",5.378 €,7.485 $,2011.0
Georgia [+],3.079,,4.285,,"27,69%",685 €,953 $,2011.0
Ghana [+],12.030,,16.742,,"31,22%",461 €,642 $,2011.0
Gambia [+],499,,694,,"49,24%",251 €,350 $,2011.0
Guinea [+],2.621,,3.648,,"53,85%",235 €,327 $,2011.0
Guinea Ecuatorial [+],1.100,,1.531,,"7,17%",1.107 €,1.540 $,2011.0
Grecia [+],356.235,,495.775,,"175,10%",32.133 €,44.719 $,2011.0
Guatemala [+],8.099,,11.271,,"23,77%",548 €,762 $,2011.0
Guinea-Bisáu [+],379,,528,,"45,62%",254 €,354 $,2011.0
Guyana [+],1.236,,1.720,,"51,67%",1.650 €,2.296 $,2011.0
Hong Kong [+],1.035,,1.440,,"0,57%",146 €,203 $,2011.0
Honduras [+],3.136,,4.365,,"24,65%",367 €,511 $,2011.0
Croacia [+],28.520,,39.706,,"63,10%",6.670 €,9.286 $,2011.0
Haití [+],2.084,,2.900,,"22,29%",210 €,293 $,2011.0
Hungría [+],72.882,,114.034,,"80,50%",7.338 €,11.482 $,2011.0
Indonesia [+],148.256,,206.330,,"23,11%",613 €,853 $,2011.0
Irlanda [+],189.724,,264.041,,"109,60%",41.341 €,57.534 $,2011.0
Israel [+],129.254,,179.884,,"67,19%",16.650 €,23.172 $,2011.0
India [+],899.916,,1.252.422,,"68,70%",714 €,993 $,2011.0
Irak [+],54.348,,75.636,,"40,72%",1.711 €,2.381 $,2011.0
Irán [+],55.092,,76.673,,"10,62%",733 €,1.020 $,2011.0
Islandia [+],10.184,,21.033,,"99,10%",31.867 €,65.814 $,2011.0
Jamaica [+],14.678,,20.427,,"135,94%",5.430 €,7.557 $,2011.0
Jordania [+],13.167,,18.325,,"56,14%",1.852 €,2.577 $,2011.0
Kenia [+],11.938,,16.614,,"35,69%",302 €,421 $,2011.0
Kirguistán [+],2.229,,3.102,,"50,06%",407 €,566 $,2011.0
Camboya [+],2.738,,3.811,,"23,74%",186 €,259 $,2011.0
Kiribati [+],13,,18,,"8,80%",121 €,169 $,2011.0
Comoras [+],203,,282,,"27,56%",302 €,421 $,2011.0
San Cristóbal y Nieves [+],764,,1.063,,"127,07%",16.246 €,22.610 $,2011.0
Corea del Sur [+],297.760,,414.396,,"31,70%",5.963 €,8.298 $,2011.0
Kuwait [+],5.136,,7.148,,"4,64%",1.582 €,2.201 $,2011.0
Kazajistán [+],14.064,,19.573,,"10,16%",849 €,1.182 $,2011.0
Laos [+],2.770,,3.855,,"43,01%",432 €,601 $,2011.0
Líbano [+],38.554,,53.656,,"134,39%",7.642 €,10.636 $,2011.0
Santa Lucía [+],622,,866,,"54,94%",3.618 €,5.035 $,2011.0
Liechtenstein [+],17,,24,,"0,37%",466 €,648 $,2011.0
Sri Lanka [+],33.786,,47.020,,"69,43%",1.656 €,2.305 $,2011.0
Liberia [+],382,,531,,"22,52%",95 €,132 $,2011.0
Lesoto [+],668,,930,,"36,17%",332 €,462 $,2011.0
Lituania [+],11.632,,16.188,,"37,40%",3.873 €,5.390 $,2011.0
Luxemburgo [+],8.201,,11.413,,"18,50%",15.626 €,21.746 $,2011.0
Letonia [+],8.949,,12.561,,"46,60%",4.376 €,6.143 $,2011.0
Libia [+],6.636,,9.235,,"26,61%",1.046 €,1.456 $,2011.0
Marruecos [+],38.275,,53.267,,"48,56%",1.175 €,1.635 $,2011.0
Moldavia [+],1.464,,2.037,,"24,20%",411 €,572 $,2011.0
Montenegro [+],1.586,,2.207,,"48,97%",2.557 €,3.558 $,2011.0
Madagascar [+],2.486,,3.459,,"29,95%",119 €,166 $,2011.0
Islas Marshall [+],45,,62,,"35,92%",841 €,1.170 $,2011.0
Macedonia del Norte [+],2.092,,2.911,,"27,73%",1.016 €,1.413 $,2011.0
Malí [+],2.237,,3.114,,"20,14%",136 €,189 $,2011.0
Myanmar [+],19.107,,26.592,,"49,94%",386 €,538 $,2011.0
Mongolia [+],2.442,,3.399,,"32,65%",869 €,1.209 $,2011.0
Mauritania [+],1.893,,2.634,,"38,84%",562 €,782 $,2011.0
Malta [+],4.848,,6.747,,"68,90%",11.611 €,16.159 $,2011.0
Mauricio [+],4.741,,6.598,,"54,87%",3.787 €,5.270 $,2011.0
Maldivas [+],980,,1.363,,"51,86%",3.014 €,4.195 $,2011.0
Malaui [+],1.614,,2.246,,"19,98%",100 €,139 $,2011.0
México [+],363.542,,505.946,,"41,17%",3.122 €,4.345 $,2011.0
Malasia [+],112.688,,156.828,,"51,90%",3.877 €,5.396 $,2011.0
Mozambique [+],3.588,,4.993,,"34,16%",148 €,206 $,2011.0
Namibia [+],2.450,,3.410,,"27,45%",1.152 €,1.603 $,2011.0
Níger [+],928,,1.291,,"14,75%",54 €,75 $,2011.0
Nigeria [+],52.597,,73.199,,"12,38%",307 €,427 $,2011.0
Nicaragua [+],2.022,,2.814,,"28,79%",337 €,469 $,2011.0
Países Bajos [+],401.579,,558.442,,"61,20%",24.003 €,33.379 $,2011.0
Noruega [+],98.943,,148.457,,"27,50%",19.845 €,29.776 $,2011.0
Nepal [+],5.052,,7.031,,"32,43%",184 €,256 $,2011.0
Nauru [+],118,,164,,"236,82%",11.794 €,16.414 $,2011.0
Nueva Zelanda [+],41.653,,57.969,,"34,68%",9.497 €,13.217 $,2011.0
Omán [+],2.474,,3.443,,"4,44%",751 €,1.045 $,2011.0
Panamá [+],9.207,,12.814,,"35,91%",2.472 €,3.441 $,2011.0
Perú [+],28.355,,39.462,,"23,11%",981 €,1.365 $,2011.0
Papúa Nueva Guinea [+],2.104,,2.927,,"16,28%",290 €,404 $,2011.0
Filipinas [+],76.462,,106.413,,"45,43%",807 €,1.124 $,2011.0
Pakistán [+],93.031,,129.472,,"56,15%",525 €,731 $,2011.0
Polonia [+],192.177,,289.156,,"54,80%",5.049 €,7.597 $,2011.0
Estado de Palestina [+],2.113,,2.940,,"26,29%",512 €,713 $,2011.0
Palaos [+],43,,60,,"30,59%",2.395 €,3.333 $,2011.0
Paraguay [+],2.679,,3.729,,"11,05%",469 €,653 $,2011.0
Catar [+],40.354,,56.161,,"33,47%",23.286 €,32.407 $,2011.0
Rumanía [+],43.934,,62.863,,"32,30%",2.186 €,3.128 $,2011.0
Serbia [+],16.939,,23.574,,"45,98%",2.347 €,3.267 $,2011.0
Rusia [+],152.060,,211.624,,"10,34%",1.063 €,1.479 $,2011.0
Ruanda [+],926,,1.289,,"18,94%",91 €,126 $,2011.0
Arabia Saudita [+],25.963,,36.133,,"5,31%",1.035 €,1.440 $,2011.0
Islas Salomón [+],138,,193,,"18,10%",237 €,330 $,2011.0
Seychelles [+],604,,840,,"82,51%",6.560 €,9.130 $,2011.0
Sudán [+],37.296,,51.905,,"78,11%",1.142 €,1.589 $,2011.0
Suecia [+],157.124,,214.983,,"37,80%",16.569 €,22.671 $,2011.0
Singapur [+],209.758,,291.923,,"103,13%",40.463 €,56.312 $,2011.0
Eslovenia [+],17.220,,23.965,,"46,80%",8.377 €,11.659 $,2011.0
Eslovaquia [+],30.994,,43.135,,"43,30%",5.735 €,7.982 $,2011.0
Sierra Leona [+],889,,1.237,,"25,77%",139 €,194 $,2011.0
San Marino [+],217,,302,,"16,62%",6.502 €,9.046 $,2011.0
Senegal [+],4.208,,5.856,,"32,88%",323 €,449 $,2011.0
Surinam [+],638,,887,,"18,74%",1.179 €,1.640 $,2011.0
Sudán del Sur [+],0,,0,,0%,0 €,0 $,2011.0
Santo Tomé y Príncipe [+],141,,196,,"86,02%",757 €,1.054 $,2011.0
El Salvador [+],9.561,,13.306,,"65,60%",1.570 €,2.185 $,2011.0
Siria [+],12.083,,16.835,,"31,21%",573 €,798 $,2009.0
Eswatini [+],509,,709,,"14,59%",493 €,687 $,2011.0
Chad [+],2.676,,3.724,,"22,32%",216 €,301 $,2011.0
Togo [+],1.440,,2.005,,"36,98%",208 €,290 $,2011.0
Tailandia [+],104.825,,145.886,,"39,12%",1.519 €,2.114 $,2011.0
Tayikistán [+],1.664,,2.316,,"35,51%",213 €,296 $,2011.0
Timor Oriental [+],0,,0,,0%,0 €,0 $,2011.0
Turkmenistán [+],2.945,,4.099,,"14,76%",549 €,765 $,2011.0
Túnez [+],14.985,,20.854,,"43,34%",1.377 €,1.916 $,2011.0
Tonga [+],155,,215,,"51,85%",1.503 €,2.092 $,2011.0
Türkiye [+],210.712,,293.250,,"34,77%",2.820 €,3.924 $,2011.0
Trinidad y Tobago [+],7.031,,9.785,,"39,23%",5.263 €,7.324 $,2011.0
Tuvalu [+],5,,7,,"19,09%",481 €,670 $,2011.0
Taiwan [+],133.338,,185.568,,"38,34%",5.741 €,7.990 $,2011.0
Tanzania [+],7.021,,9.771,,"28,43%",159 €,222 $,2011.0
Ucrania [+],43.205,,60.129,,"35,53%",951 €,1.323 $,2011.0
Uganda [+],3.549,,4.939,,"17,96%",113 €,157 $,2011.0
Uruguay [+],15.521,,21.600,,"41,26%",4.548 €,6.329 $,2011.0
Uzbekistán [+],2.739,,3.812,,"5,65%",94 €,131 $,2011.0
San Vicente y las Granadinas [+],328,,457,,"63,99%",3.012 €,4.191 $,2011.0
Venezuela [+],64.973,,90.423,,"52,48%",2.226 €,3.098 $,2011.0
Viet Nam [+],44.557,,62.010,,"36,19%",507 €,706 $,2011.0
Vanuatu [+],113,,157,,"19,25%",461 €,641 $,2011.0
Samoa [+],222,,309,,"41,53%",1.188 €,1.653 $,2011.0
Yemen [+],10.752,,14.964,,"45,73%",390 €,543 $,2011.0
Sudáfrica [+],114.510,,159.365,,"34,74%",2.190 €,3.048 $,2011.0
Zambia [+],3.507,,4.880,,"20,81%",243 €,338 $,2011.0
Zimbabue [+],3.617,,2,,"30,02%",290 €,0 $,2011.0
