Países,Densidad,Población,Población.1,Var.,Año
Islas Marshall [+],289.0,52.000,,0,2009
Macedonia del Norte [+],80.0,2.052.722,,"0,20%",2009
Malí [+],12.0,15.436.000,,"3,31%",2009
Myanmar [+],72.0,48.745.000,,"0,66%",2009
Mongolia [+],2.0,2.716.000,,"1,88%",2009
Mauritania [+],3.0,3.202.000,,"2,66%",2009
Malta [+],1.294,414.027,,"0,75%",2009
Mauricio [+],611.0,1.247.000,,"0,24%",2009
Maldivas [+],1.05,315.000,,"1,61%",2009
Malaui [+],129.0,15.274.000,,"2,88%",2009
México [+],58.0,113.030.000,,"1,58%",2009
Malasia [+],85.0,28.082.000,,"1,75%",2009
Mozambique [+],29.0,22.895.000,,"2,77%",2009
Namibia [+],3.0,2.062.000,,"1,48%",2009
Níger [+],13.0,15.843.000,,"3,88%",2009
Nigeria [+],175.0,161.906.000,,"2,93%",2009
Nicaragua [+],44.0,5.742.000,,"1,29%",2009
Países Bajos [+],399.0,16.574.989,,"0,54%",2009
Noruega [+],13.0,4.858.199,,"1,23%",2009
Nepal [+],185.0,27.173.000,,"0,68%",2009
Nauru [+],500.0,10.000,,0,2009
Nueva Zelanda [+],16.0,4.305.000,,"1,01%",2009
Omán [+],9.0,2.883.000,,"3,52%",2009
Panamá [+],48.0,3.600.000,,"1,75%",2009
Perú [+],22.0,28.485.319,,"0,65%",2009
Papúa Nueva Guinea [+],14.0,6.339.000,,"2,31%",2009
Filipinas [+],305.0,91.560.000,,"1,76%",2009
Pakistán [+],212.0,168.690.000,,"2,47%",2009
Polonia [+],122.0,38.022.869,,"-0,30%",2009
Estado de Palestina [+],651.0,3.922.000,,"2,64%",2009
Palaos [+],39.0,18.000,,"-5,26%",2009
Paraguay [+],14.0,5.627.000,,"0,70%",2009
Catar [+],141.0,1.639.000,,"5,47%",2009
Rumanía [+],85.0,20.294.683,,"-0,71%",2009
Serbia [+],83.0,7.306.677,,"-0,39%",2009
Rusia [+],8.0,141.914.509,,"0,01%",2009
Ruanda [+],368.0,9.700.000,,"2,11%",2009
Arabia Saudita [+],11.0,22.780.000,,"2,57%",2009
Islas Salomón [+],19.0,552.000,,"2,79%",2009
Seychelles [+],193.0,89.000,,"1,14%",2009
Sudán [+],16.0,39.117.000,,"2,60%",2009
Suecia [+],21.0,9.340.682,,"0,91%",2009
Singapur [+],7.025,4.988.000,,"3,08%",2009
Eslovenia [+],101.0,2.046.976,,"0,72%",2009
Eslovaquia [+],110.0,5.390.410,,"0,15%",2009
Sierra Leona [+],84.0,6.056.000,,"2,73%",2009
San Marino [+],517.0,31.000,,"-0,86%",2009
Senegal [+],63.0,12.335.000,,"2,75%",2009
Somalia [+],19.0,11.961.201,,"2,56%",2009
Surinam [+],3.0,528.000,,"1,34%",2009
Sudán del Sur [+],14.0,9.243.556,,"4,83%",2009
Santo Tomé y Príncipe [+],185.0,178.000,,"2,30%",2009
El Salvador [+],287.0,6.048.000,,"0,32%",2009
Siria [+],114.0,21.092.000,,"2,48%",2009
Eswatini [+],59.0,1.021.000,,"0,69%",2009
Chad [+],9.0,11.560.000,,"3,36%",2009
Togo [+],115.0,6.552.000,,"2,87%",2009
Tailandia [+],133.0,68.121.000,,"0,74%",2009
Tayikistán [+],52.0,7.473.000,,"2,23%",2009
Timor Oriental [+],70.0,1.046.000,,"2,65%",2009
Turkmenistán [+],11.0,5.181.000,,"1,25%",2009
Túnez [+],65.0,10.651.000,,"1,02%",2009
Tonga [+],137.0,103.000,,"0,98%",2009
Türkiye [+],92.0,72.561.312,,"1,46%",2009
Trinidad y Tobago [+],258.0,1.321.000,,"0,53%",2009
Tuvalu [+],333.0,10.000,,0,2009
Taiwan [+],643.0,23.120.000,,"0,36%",2009
Tanzania [+],44.0,41.879.000,,"2,66%",2009
Ucrania [+],76.0,45.782.592,,"-0,39%",2009
Uganda [+],122.0,29.549.000,,"3,40%",2009
Uruguay [+],19.0,3.378.000,,"0,45%",2009
Uzbekistán [+],62.0,27.533.000,,"1,70%",2009
San Vicente y las Granadinas [+],279.0,109.000,,0,2009
Venezuela [+],31.0,28.106.000,,"1,51%",2009
Viet Nam [+],263.0,87.092.000,,"0,98%",2009
Vanuatu [+],19.0,234.000,,"2,18%",2009
Samoa [+],65.0,184.000,,"0,55%",2009
Yemen [+],49.0,25.928.000,,"3,25%",2009
Sudáfrica [+],42.0,50.783.000,,"1,43%",2009
Zambia [+],18.0,13.490.000,,"3,60%",2009
Zimbabue [+],31.0,12.230.000,,"0,91%",2009
España [+],92.0,46.667.175,,"0,22%",2010
Alemania [+],225.0,80.222.065,,"-1,93%",2010
Reino Unido [+],259.0,63.022.532,,"0,82%",2010
Francia [+],118.0,64.978.721,,"0,49%",2010
Italia [+],198.0,59.948.497,,"0,43%",2010
Portugal [+],115.0,10.572.721,,"-0,01%",2010
Estados Unidos [+],31.0,309.348.193,,"0,84%",2010
Japón [+],338.0,127.594.000,,"0,03%",2010
China [+],140.0,1.340.910.000,,"0,48%",2010
Andorra [+],150.0,70.290,,"-4,50%",2010
Emiratos Árabes Unidos [+],71.0,6.965.000,,"2,82%",2010
Afganistán [+],43.0,28.190.000,,"2,94%",2010
Antigua y Barbuda [+],193.0,85.000,,"1,19%",2010
Albania [+],101.0,2.907.361,,"-0,39%",2010
Armenia [+],110.0,3.262.650,,"0,41%",2010
Angola [+],19.0,23.295.000,,"3,93%",2010
Argentina [+],15.0,40.788.000,,"1,63%",2010
Austria [+],100.0,8.375.164,,"0,28%",2010
Australia [+],3.0,22.172.000,,"1,40%",2010
Azerbaiyán [+],105.0,9.111.078,,"1,26%",2010
Bosnia y Herzegovina [+],75.0,3.843.183,,"-0,02%",2010
Barbados [+],651.0,280.000,,"0,72%",2010
Bangladés [+],994.0,147.575.000,,"1,13%",2010
Bélgica [+],360.0,11.000.638,,"1,48%",2010
Burkina Faso [+],59.0,16.176.000,,"2,97%",2010
Bulgaria [+],66.0,7.369.431,,"-0,71%",2010
Baréin [+],1.613,1.229.000,,"4,33%",2010
Burundi [+],337.0,9.376.000,,"4,78%",2010
Benin [+],85.0,9.797.000,,"3,03%",2010
Brunéi [+],67.0,387.000,,"1,84%",2010
Bolivia [+],9.0,10.182.000,,"1,66%",2010
Brasil [+],23.0,194.749.000,,"0,82%",2010
Bahamas [+],25.0,351.000,,"1,15%",2010
Bután [+],18.0,698.000,,"1,16%",2010
Botsuana [+],3.0,2.033.000,,"2,11%",2010
Bielorrusia [+],46.0,9.481.193,,"0,01%",2010
Belice [+],14.0,322.000,,"2,22%",2010
Canadá [+],3.0,34.005.902,,"1,12%",2010
República Democrática del Congo [+],28.0,65.939.000,,"3,28%",2010
República Centroafricana [+],7.0,4.449.000,,"-3,47%",2010
República del Congo [+],13.0,4.438.000,,"4,25%",2010
Suiza [+],191.0,7.870.134,,"1,08%",2010
Costa de Marfil [+],67.0,21.553.000,,"2,86%",2010
